

Elements

Resources

Network

Sources

Timeline

Profiles

Audits

Console
ready 198.59100000030594 scaling.html:61
240.3359999989334 10000000 scaling.html:33
300.89399999997113 10000000 scaling.html:33
336.7489999982354 10000000 scaling.html:33
370.12500000128057 10000000 scaling.html:33
392.06299999932526 10000000 scaling.html:33
423.77699999997276 10000000 scaling.html:33
458.5609999994631 10000000 scaling.html:33
493.7480000007781 10000000 scaling.html:33
524.107000001095 10000000 scaling.html:33
540.9959999997227 10000000 scaling.html:33
557.5009999993199 10000000 scaling.html:33
574.0550000009534 10000000 scaling.html:33
590.1159999993979 10000000 scaling.html:33
607.2610000010172 10000000 scaling.html:33
623.7430000001041 10000000 scaling.html:33
640.6930000011926 10000000 scaling.html:33
657.2950000008859 10000000 scaling.html:33
673.7729999986186 10000000 scaling.html:33
690.4560000002675 10000000 scaling.html:33
707.2750000006636 10000000 scaling.html:33
723.8429999997607 10000000 scaling.html:33
741.0170000002836 10000000 scaling.html:33
757.090999999491 10000000 scaling.html:33
769.0729999994801 10000000 scaling.html:33
803.7949999998091 10000000 scaling.html:33
822.6230000000214 10000000 scaling.html:33
840.0970000002417 10000000 scaling.html:33
857.1159999992233 10000000 scaling.html:33
873.8249999987602 10000000 scaling.html:33
890.5149999991409 10000000 scaling.html:33
907.3459999999614 10000000 scaling.html:33
954.9780000015744 10000000 scaling.html:33
973.9950000002864 10000000 scaling.html:33
990.7810000004247 10000000 scaling.html:33
1004.8219999989669 10000000 scaling.html:33
1020.6980000002659 10000000 scaling.html:33
1037.4269999992975 10000000 scaling.html:33
1053.6240000001271 10000000 scaling.html:33
1070.8840000006603 10000000 scaling.html:33
1086.3370000006398 10000000 scaling.html:33
1102.257999998983 10000000 scaling.html:33
1119.105000001582 10000000 scaling.html:33
1136.9070000000647 10000000 scaling.html:33
1155.269999999291 10000000 scaling.html:33
1169.3059999997786 10000000 scaling.html:33
1186.5780000007362 10000000 scaling.html:33
1205.0679999993008 10000000 scaling.html:33
1221.8119999997725 10000000 scaling.html:33
1236.905999998271 10000000 scaling.html:33
1253.5810000008496 10000000 scaling.html:33
1272.7249999988999 10000000 scaling.html:33
1288.3179999989807 10000000 scaling.html:33
1305.5029999995895 10000000 scaling.html:33
1340.0729999993928 10000000 scaling.html:33
1357.600999999704 10000000 scaling.html:33
1372.3099999988335 10000000 scaling.html:33
1386.900000001333 10000000 scaling.html:33
1403.8939999991271 10000000 scaling.html:33
1420.6669999985024 10000000 scaling.html:33
1438.5760000004666 10000000 scaling.html:33
1452.3950000002515 10000000 scaling.html:33
1470.9960000000137 10000000 scaling.html:33
1487.5759999995353 10000000 scaling.html:33
1506.2910000015108 10000000 scaling.html:33
1522.37199999945 10000000 scaling.html:33
1538.3770000007644 10000000 scaling.html:33
1552.1269999990182 10000000 scaling.html:33
1568.8479999989795 10000000 scaling.html:33
1585.37399999841 10000000 scaling.html:33
1602.7539999995497 10000000 scaling.html:33
1620.8409999999276 10000000 scaling.html:33
1636.7690000006405 10000000 scaling.html:33
1654.5839999998861 10000000 scaling.html:33
1671.9579999989946 10000000 scaling.html:33
1687.4019999995653 10000000 scaling.html:33
1703.509999999369 10000000 scaling.html:33
1719.8089999983495 10000000 scaling.html:33
1737.3619999998482 10000000 scaling.html:33
1753.593000001274 10000000 scaling.html:33
1770.014000001538 10000000 scaling.html:33
1788.898999999219 10000000 scaling.html:33
1803.1870000013441 10000000 scaling.html:33
1820.8119999981136 10000000 scaling.html:33
1836.780000001454 10000000 scaling.html:33
1853.5660000015923 10000000 scaling.html:33
1870.7929999982298 10000000 scaling.html:33
1886.9809999996505 10000000 scaling.html:33
1903.5629999998491 10000000 scaling.html:33
1920.5409999995027 10000000 scaling.html:33
1937.659999999596 10000000 scaling.html:33
1953.788999999233 10000000 scaling.html:33
1975.0800000001618 10000000 scaling.html:33
1987.3310000002675 10000000 scaling.html:33
2005.6010000007518 10000000 scaling.html:33
2022.2299999986717 10000000 scaling.html:33
2040.166999999201 10000000 scaling.html:33
2052.82200000147 10000000 scaling.html:33
2069.2720000006375 10000000 scaling.html:33
2086.177000001044 10000000 scaling.html:33
2102.768000000651 10000000 scaling.html:33
2119.588000001386 10000000 scaling.html:33
2136.329000000842 10000000 scaling.html:33
2152.5049999982 10000000 scaling.html:33
2169.301000001724 10000000 scaling.html:33
2186.62200000108 10000000 scaling.html:33
2203.9110000005167 10000000 scaling.html:33
2220.0950000005832 10000000 scaling.html:33
2237.2160000013537 10000000 scaling.html:33
2253.991000001406 10000000 scaling.html:33
2272.009000000253 10000000 scaling.html:33
2288.2079999981215 10000000 scaling.html:33
2305.8840000012424 10000000 scaling.html:33
2338.501999998698 10000000 scaling.html:33
2354.4309999997495 10000000 scaling.html:33
2371.067000000039 10000000 scaling.html:33
2387.2860000010405 10000000 scaling.html:33
2402.4199999985285 10000000 scaling.html:33
2419.0679999992426 10000000 scaling.html:33
2436.229999999341 10000000 scaling.html:33
2455.8340000003227 10000000 scaling.html:33
2471.0070000000997 10000000 scaling.html:33
2487.5339999998687 10000000 scaling.html:33
2503.8950000016484 10000000 scaling.html:33
2520.6299999990733 10000000 scaling.html:33
2539.183000000776 10000000 scaling.html:33
2553.4740000002785 10000000 scaling.html:33
2570.506000000023 10000000 scaling.html:33
2586.927000000287 10000000 scaling.html:33
2605.009999999311 10000000 scaling.html:33
2620.796999999584 10000000 scaling.html:33
2637.3319999984233 10000000 scaling.html:33
2654.1199999992386 10000000 scaling.html:33
2670.7449999994424 10000000 scaling.html:33
2690.0539999987814 10000000 scaling.html:33
2703.6970000008296 10000000 scaling.html:33
2720.729000000574 10000000 scaling.html:33
2741.34100000083 10000000 scaling.html:33
2755.1989999992657 10000000 scaling.html:33
2770.2080000017304 10000000 scaling.html:33
2787.614000000758 10000000 scaling.html:33
2803.6009999996168 10000000 scaling.html:33
2820.7369999981893 10000000 scaling.html:33
2837.7800000016578 10000000 scaling.html:33
2854.616000000533 10000000 scaling.html:33
2871.3889999999083 10000000 scaling.html:33
2887.1040000012727 10000000 scaling.html:33
2902.7380000006815 10000000 scaling.html:33
2919.1849999988335 10000000 scaling.html:33
2936.3459999985935 10000000 scaling.html:33
2953.0290000002424 10000000 scaling.html:33
2969.733999998425 10000000 scaling.html:33
2990.45599999954 10000000 scaling.html:33
3003.341999999975 10000000 scaling.html:33
3020.6279999983963 10000000 scaling.html:33
3037.8469999996014 10000000 scaling.html:33
3054.788000001281 10000000 scaling.html:33
3071.4789999983623 10000000 scaling.html:33
3088.148999999248 10000000 scaling.html:33
3104.7270000017306 10000000 scaling.html:33
3121.4939999990747 10000000 scaling.html:33
3137.174999999843 10000000 scaling.html:33
3152.7160000005097 10000000 scaling.html:33
3169.250999999349 10000000 scaling.html:33
3186.366000001726 10000000 scaling.html:33
3203.8070000016887 10000000 scaling.html:33
3220.420000001468 10000000 scaling.html:33
3237.2680000007676 10000000 scaling.html:33
3254.4730000008713 10000000 scaling.html:33
3270.9739999991143 10000000 scaling.html:33
3287.874000001466 10000000 scaling.html:33
3304.401000001235 10000000 scaling.html:33
3321.5500000005704 10000000 scaling.html:33
3338.5679999992135 10000000 scaling.html:33
3355.257999999594 10000000 scaling.html:33
3372.0529999991413 10000000 scaling.html:33
3388.2059999996272 10000000 scaling.html:33
3405.8570000015607 10000000 scaling.html:33
3421.823000000586 10000000 scaling.html:33
3438.3879999986675 10000000 scaling.html:33
3457.50599999883 10000000 scaling.html:33
3489.9030000015046 10000000 scaling.html:33
3505.048999999417 10000000 scaling.html:33
3521.2570000003325 10000000 scaling.html:33
3538.5720000012952 10000000 scaling.html:33
3554.638999998133 10000000 scaling.html:33
3571.226000000024 10000000 scaling.html:33
3588.6409999984608 10000000 scaling.html:33
3606.4619999997376 10000000 scaling.html:33
3621.6549999990093 10000000 scaling.html:33
3637.4250000008033 10000000 scaling.html:33
3653.3779999990657 10000000 scaling.html:33
3670.0530000016443 10000000 scaling.html:33
3686.6770000015094 10000000 scaling.html:33
3703.810999999405 10000000 scaling.html:33
3720.715999999811 10000000 scaling.html:33
3737.210999999661 10000000 scaling.html:33
3753.748999999516 10000000 scaling.html:33
3770.874999998341 10000000 scaling.html:33
3787.3099999997066 10000000 scaling.html:33
3803.960000001098 10000000 scaling.html:33
3821.0849999995844 10000000 scaling.html:33
3837.8000000011525 10000000 scaling.html:33
3854.855999998108 10000000 scaling.html:33
3873.2620000009774 10000000 scaling.html:33
3906.009999998787 10000000 scaling.html:33
3938.0759999985457 10000000 scaling.html:33
3954.8439999998664 10000000 scaling.html:33
3971.9589999986056 10000000 scaling.html:33
3988.3279999994556 10000000 scaling.html:33
4007.830999998987 10000000 scaling.html:33
4019.495000000461 10000000 scaling.html:33
4036.111000001256 10000000 scaling.html:33
4052.7360000014596 10000000 scaling.html:33
4070.015000001149 10000000 scaling.html:33
4086.6559999994934 10000000 scaling.html:33
4103.751999999076 10000000 scaling.html:33
4120.866000001115 10000000 scaling.html:33
4137.55300000048 10000000 scaling.html:33
4154.8839999995835 10000000 scaling.html:33
4171.507999999449 10000000 scaling.html:33
4190.460000001622 10000000 scaling.html:33
4205.017000000225 10000000 scaling.html:33
4222.881999998208 10000000 scaling.html:33
4238.652000000002 10000000 scaling.html:33
4254.806000000826 10000000 scaling.html:33
4288.079999998445 10000000 scaling.html:33
4304.843999998411 10000000 scaling.html:33
4322.046000001137 10000000 scaling.html:33
4337.423000000854 10000000 scaling.html:33
4353.143000000273 10000000 scaling.html:33
4369.785999999294 10000000 scaling.html:33
4386.912999998458 10000000 scaling.html:33
4404.814000001352 10000000 scaling.html:33
4420.26899999837 10000000 scaling.html:33
4437.152999998943 10000000 scaling.html:33
4453.828999998223 10000000 scaling.html:33
4471.430000001419 10000000 scaling.html:33
4487.754000001587 10000000 scaling.html:33
4506.6789999982575 10000000 scaling.html:33
4525.196999999025 10000000 scaling.html:33
4553.080000001501 10000000 scaling.html:33
4569.872000000032 10000000 scaling.html:33
4603.327000000718 10000000 scaling.html:33
4636.554000000615 10000000 scaling.html:33
4653.052999998181 10000000 scaling.html:33
4686.352000000625 10000000 scaling.html:33
4703.199999999924 10000000 scaling.html:33
4719.503000000259 10000000 scaling.html:33
4736.473000000842 10000000 scaling.html:33
4753.297999999631 10000000 scaling.html:33
4769.518000000971 10000000 scaling.html:33
4786.501999999018 10000000 scaling.html:33
4805.075000000215 10000000 scaling.html:33
4819.8430000011285 10000000 scaling.html:33
4836.933999999019 10000000 scaling.html:33
4853.616000000329 10000000 scaling.html:33
4870.624999999563 10000000 scaling.html:33
4887.635999999475 10000000 scaling.html:33
4904.372000000876 10000000 scaling.html:33
4921.114000000671 10000000 scaling.html:33
4937.732999998843 10000000 scaling.html:33
4954.405000000406 10000000 scaling.html:33
4971.461000001 10000000 scaling.html:33
4989.345999998477 10000000 scaling.html:33
5004.3059999989055 10000000 scaling.html:33
