

Elements

Resources

Network

Sources

Timeline

Profiles

Audits

Console
ready 174.02599999695667 rotation.html:227
259.4199999984994 10000000 rotation.html:214
428.368999997474 10000000 rotation.html:214
459.5579999986512 10000000 rotation.html:214
491.6899999989255 10000000 rotation.html:214
524.8189999983879 10000000 rotation.html:214
561.1019999996643 10000000 rotation.html:214
593.1519999976445 10000000 rotation.html:214
625.953999999183 10000000 rotation.html:214
638.913999999204 10000000 rotation.html:214
656.1939999992319 10000000 rotation.html:214
692.0399999980873 10000000 rotation.html:214
722.4690000002738 10000000 rotation.html:214
760.8619999991788 10000000 rotation.html:214
793.0930000002263 10000000 rotation.html:214
826.3630000001285 10000000 rotation.html:214
856.1840000002121 10000000 rotation.html:214
913.5559999995166 10000000 rotation.html:214
939.420999999129 10000000 rotation.html:214
972.5729999991017 10000000 rotation.html:214
1006.0229999980947 10000000 rotation.html:214
1039.4669999986945 10000000 rotation.html:214
1074.6489999983169 10000000 rotation.html:214
1106.4189999997325 10000000 rotation.html:214
1139.2109999978857 10000000 rotation.html:214
1172.5420000002487 10000000 rotation.html:214
1206.1539999995148 10000000 rotation.html:214
1239.4819999972242 10000000 rotation.html:214
1275.8589999975811 10000000 rotation.html:214
1309.994999999617 10000000 rotation.html:214
1340.0779999974475 10000000 rotation.html:214
1373.9800000003015 10000000 rotation.html:214
1407.788000000437 10000000 rotation.html:214
1439.1379999979108 10000000 rotation.html:214
1456.823999997141 10000000 rotation.html:214
1488.7669999989157 10000000 rotation.html:214
1508.1309999986843 10000000 rotation.html:214
1540.0269999990996 10000000 rotation.html:214
1555.5109999986598 10000000 rotation.html:214
1573.77699999779 10000000 rotation.html:214
1606.8489999997837 10000000 rotation.html:214
1640.0249999969674 10000000 rotation.html:214
1672.311999998783 10000000 rotation.html:214
1694.7679999975662 10000000 rotation.html:214
1721.903999998176 10000000 rotation.html:214
1738.4199999978591 10000000 rotation.html:214
1756.7239999989397 10000000 rotation.html:214
1772.038999999495 10000000 rotation.html:214
1791.7299999971874 10000000 rotation.html:214
1823.4339999980875 10000000 rotation.html:214
1839.2869999988761 10000000 rotation.html:214
1855.7269999982964 10000000 rotation.html:214
1890.1149999983318 10000000 rotation.html:214
1929.748999998992 10000000 rotation.html:214
1959.2869999978575 10000000 rotation.html:214
1990.3479999993579 10000000 rotation.html:214
2006.5189999986615 10000000 rotation.html:214
2022.9379999982484 10000000 rotation.html:214
2041.0649999976158 10000000 rotation.html:214
2073.376999996981 10000000 rotation.html:214
2089.4269999989774 10000000 rotation.html:214
2126.267999999982 10000000 rotation.html:214
2157.6359999999113 10000000 rotation.html:214
