

Elements

Resources

Network

Sources

Timeline

Profiles

Audits

Console
ready 144.46400000088033 scaling.html:103
225.5990000012389 10000000 scaling.html:77
314.76000000111526 10000000 scaling.html:77
344.40600000016275 10000000 scaling.html:77
371.78400000266265 10000000 scaling.html:77
388.8200000001234 10000000 scaling.html:77
405.3940000012517 10000000 scaling.html:77
437.9189999999653 10000000 scaling.html:77
454.2490000021644 10000000 scaling.html:77
472.99800000109826 10000000 scaling.html:77
487.291000001278 10000000 scaling.html:77
503.99100000140606 10000000 scaling.html:77
521.0030000016559 10000000 scaling.html:77
536.6470000008121 10000000 scaling.html:77
555.0419999999576 10000000 scaling.html:77
571.5880000025209 10000000 scaling.html:77
586.1210000002757 10000000 scaling.html:77
604.2890000026091 10000000 scaling.html:77
621.8560000015714 10000000 scaling.html:77
638.2490000032703 10000000 scaling.html:77
655.0239999996847 10000000 scaling.html:77
673.8670000013371 10000000 scaling.html:77
689.4910000009986 10000000 scaling.html:77
705.1979999996547 10000000 scaling.html:77
722.3850000009406 10000000 scaling.html:77
737.2280000017781 10000000 scaling.html:77
753.8280000007944 10000000 scaling.html:77
771.7010000014852 10000000 scaling.html:77
789.9250000009488 10000000 scaling.html:77
805.8680000031018 10000000 scaling.html:77
823.1830000004265 10000000 scaling.html:77
838.4750000004715 10000000 scaling.html:77
855.7140000011714 10000000 scaling.html:77
871.3130000032834 10000000 scaling.html:77
921.2920000027225 10000000 scaling.html:77
936.9920000026468 10000000 scaling.html:77
955.1900000005844 10000000 scaling.html:77
972.8549999999814 10000000 scaling.html:77
989.7820000005595 10000000 scaling.html:77
1006.6750000005413 10000000 scaling.html:77
1021.1490000001504 10000000 scaling.html:77
1035.9800000005635 10000000 scaling.html:77
1055.7170000029146 10000000 scaling.html:77
1071.6250000004948 10000000 scaling.html:77
1089.2430000021704 10000000 scaling.html:77
1106.6330000030575 10000000 scaling.html:77
1120.5530000006547 10000000 scaling.html:77
1137.685000001511 10000000 scaling.html:77
1153.4970000029716 10000000 scaling.html:77
1169.571000002179 10000000 scaling.html:77
1186.5920000018377 10000000 scaling.html:77
1202.8820000014093 10000000 scaling.html:77
1219.728000000032 10000000 scaling.html:77
1237.1520000015153 10000000 scaling.html:77
1255.2690000011353 10000000 scaling.html:77
1272.623000000749 10000000 scaling.html:77
1290.524000000005 10000000 scaling.html:77
1305.210000002262 10000000 scaling.html:77
1319.3370000008144 10000000 scaling.html:77
1336.3230000031763 10000000 scaling.html:77
1354.973000001337 10000000 scaling.html:77
1372.1340000010969 10000000 scaling.html:77
1387.434000000212 10000000 scaling.html:77
1405.973000000813 10000000 scaling.html:77
1422.6479999997537 10000000 scaling.html:77
1439.4950000023528 10000000 scaling.html:77
1455.022000001918 10000000 scaling.html:77
1470.370000002731 10000000 scaling.html:77
1487.382000002981 10000000 scaling.html:77
1503.4630000009201 10000000 scaling.html:77
1523.4259999997448 10000000 scaling.html:77
1537.7340000013646 10000000 scaling.html:77
1554.641000002448 10000000 scaling.html:77
1572.2720000012487 10000000 scaling.html:77
1588.199000001623 10000000 scaling.html:77
1604.7530000032566 10000000 scaling.html:77
1621.3480000005802 10000000 scaling.html:77
1638.4700000016892 10000000 scaling.html:77
1655.4630000027828 10000000 scaling.html:77
