

Elements

Resources

Network

Sources

Timeline

Profiles

Audits

Console
ready 282.3840000000928 rotation.html:102
351.55999999915366 10000000 rotation.html:76
622.8819999996631 10000000 rotation.html:76
702.7209999996558 10000000 rotation.html:76
735.2350000001024 10000000 rotation.html:76
768.5120000005554 10000000 rotation.html:76
801.5400000003865 10000000 rotation.html:76
834.6099999998842 10000000 rotation.html:76
868.8490000004094 10000000 rotation.html:76
931.522999999288 10000000 rotation.html:76
973.8290000004781 10000000 rotation.html:76
1153.2760000009148 10000000 rotation.html:76
1195.8080000003974 10000000 rotation.html:76
1212.6250000001164 10000000 rotation.html:76
1228.9899999996123 10000000 rotation.html:76
1247.020999999222 10000000 rotation.html:76
1264.5709999997052 10000000 rotation.html:76
1280.786999999691 10000000 rotation.html:76
1298.330999999962 10000000 rotation.html:76
1314.2439999992348 10000000 rotation.html:76
1329.8780000004626 10000000 rotation.html:76
1347.8500000001077 10000000 rotation.html:76
1362.5040000006265 10000000 rotation.html:76
1380.873000000065 10000000 rotation.html:76
1397.331000000122 10000000 rotation.html:76
1413.749999999709 10000000 rotation.html:76
1432.6729999993404 10000000 rotation.html:76
1448.5719999993307 10000000 rotation.html:76
1465.5230000007577 10000000 rotation.html:76
1480.6989999997313 10000000 rotation.html:76
1498.0259999992995 10000000 rotation.html:76
1515.3080000000045 10000000 rotation.html:76
1533.5900000009133 10000000 rotation.html:76
1548.6590000000433 10000000 rotation.html:76
1561.9220000007772 10000000 rotation.html:76
1580.5330000002868 10000000 rotation.html:76
1597.7230000007694 10000000 rotation.html:76
1612.7660000001924 10000000 rotation.html:76
1629.1519999995216 10000000 rotation.html:76
1645.883999999569 10000000 rotation.html:76
1662.915000000794 10000000 rotation.html:76
1681.4460000005056 10000000 rotation.html:76
1695.7789999996749 10000000 rotation.html:76
1712.5300000006973 10000000 rotation.html:76
1729.2120000001887 10000000 rotation.html:76
1745.8609999994223 10000000 rotation.html:76
1762.4479999994946 10000000 rotation.html:76
1778.7680000001274 10000000 rotation.html:76
1796.8789999995352 10000000 rotation.html:76
1812.4389999993582 10000000 rotation.html:76
1832.8899999996793 10000000 rotation.html:76
1846.0470000009082 10000000 rotation.html:76
1865.433999999368 10000000 rotation.html:76
1882.8130000001693 10000000 rotation.html:76
1900.8630000007543 10000000 rotation.html:76
1933.1079999992653 10000000 rotation.html:76
1952.7109999999084 10000000 rotation.html:76
2002.6039999993372 10000000 rotation.html:76
2034.734999999273 10000000 rotation.html:76
2052.3229999998875 10000000 rotation.html:76
2079.7160000001895 10000000 rotation.html:76
2097.483999999895 10000000 rotation.html:76
2113.3609999997134 10000000 rotation.html:76
2130.1500000008673 10000000 rotation.html:76
2147.4940000007336 10000000 rotation.html:76
2172.327000000223 10000000 rotation.html:76
2199.506000000838 10000000 rotation.html:76
2213.275000000067 10000000 rotation.html:76
2232.9270000009274 10000000 rotation.html:76
2247.207000000344 10000000 rotation.html:76
2269.1959999992832 10000000 rotation.html:76
2284.6890000000712 10000000 rotation.html:76
2313.2370000002993 10000000 rotation.html:76
2330.0469999994675 10000000 rotation.html:76
2345.922000000428 10000000 rotation.html:76
2364.6649999991496 10000000 rotation.html:76
2381.5950000007433 10000000 rotation.html:76
2396.9899999992776 10000000 rotation.html:76
2413.9020000002347 10000000 rotation.html:76
2432.759999999689 10000000 rotation.html:76
2447.77299999987 10000000 rotation.html:76
2465.704000000187 10000000 rotation.html:76
2480.9150000000955 10000000 rotation.html:76
2498.149999999441 10000000 rotation.html:76
2514.988999999332 10000000 rotation.html:76
2531.238999999914 10000000 rotation.html:76
2548.2730000003357 10000000 rotation.html:76
2566.421999999875 10000000 rotation.html:76
2580.7569999997213 10000000 rotation.html:76
2598.015999999916 10000000 rotation.html:76
2617.5700000003417 10000000 rotation.html:76
2631.9239999993442 10000000 rotation.html:76
2649.2940000007366 10000000 rotation.html:76
2664.369000000079 10000000 rotation.html:76
2680.689999999231 10000000 rotation.html:76
2697.2979999991367 10000000 rotation.html:76
2713.9459999998508 10000000 rotation.html:76
2730.7400000008784 10000000 rotation.html:76
2747.486000000208 10000000 rotation.html:76
2769.211999999243 10000000 rotation.html:76
2786.71199999917 10000000 rotation.html:76
2815.5549999992218 10000000 rotation.html:76
2831.2760000007984 10000000 rotation.html:76
2848.6460000003717 10000000 rotation.html:76
2865.143999999418 10000000 rotation.html:76
2883.628999999928 10000000 rotation.html:76
2899.07200000016 10000000 rotation.html:76
2915.0769999996555 10000000 rotation.html:76
2932.4169999999867 10000000 rotation.html:76
2948.0299999995623 10000000 rotation.html:76
2968.4849999994185 10000000 rotation.html:76
2988.643000000593 10000000 rotation.html:76
3014.7930000002816 10000000 rotation.html:76
3031.372999999803 10000000 rotation.html:76
3047.381000000314 10000000 rotation.html:76
3062.659999999596 10000000 rotation.html:76
3079.279999999926 10000000 rotation.html:76
3097.222000000329 10000000 rotation.html:76
3114.2560000007506 10000000 rotation.html:76
3132.9679999998916 10000000 rotation.html:76
3146.2890000002517 10000000 rotation.html:76
3165.5250000003434 10000000 rotation.html:76
3183.430999999473 10000000 rotation.html:76
3198.5750000003463 10000000 rotation.html:76
3215.6419999992067 10000000 rotation.html:76
3232.0889999991778 10000000 rotation.html:76
3248.099000000366 10000000 rotation.html:76
3262.966000000233 10000000 rotation.html:76
3279.2160000008153 10000000 rotation.html:76
3296.433999999863 10000000 rotation.html:76
3313.697999999931 10000000 rotation.html:76
3330.6830000001355 10000000 rotation.html:76
3346.3539999993372 10000000 rotation.html:76
3363.4060000003956 10000000 rotation.html:76
3380.263000000923 10000000 rotation.html:76
3399.870999999621 10000000 rotation.html:76
3415.1270000002114 10000000 rotation.html:76
3433.1359999996494 10000000 rotation.html:76
3446.176999999807 10000000 rotation.html:76
3467.4309999991237 10000000 rotation.html:76
3483.835999999428 10000000 rotation.html:76
3497.497000000294 10000000 rotation.html:76
3515.5890000005456 10000000 rotation.html:76
3530.996999999843 10000000 rotation.html:76
3547.4300000005314 10000000 rotation.html:76
3564.163999999437 10000000 rotation.html:76
3583.864000000176 10000000 rotation.html:76
3599.0939999992406 10000000 rotation.html:76
3612.520000000586 10000000 rotation.html:76
3629.629000000932 10000000 rotation.html:76
3646.3609999991604 10000000 rotation.html:76
3664.5150000003923 10000000 rotation.html:76
3681.4049999993586 10000000 rotation.html:76
3696.9609999996464 10000000 rotation.html:76
3714.0110000000277 10000000 rotation.html:76
3730.1970000007714 10000000 rotation.html:76
3748.643999999331 10000000 rotation.html:76
3766.7750000000524 10000000 rotation.html:76
3785.540000000765 10000000 rotation.html:76
3813.5999999994965 10000000 rotation.html:76
3831.0440000004746 10000000 rotation.html:76
3846.917000000758 10000000 rotation.html:76
3863.094000000274 10000000 rotation.html:76
3879.1959999998653 10000000 rotation.html:76
3896.231999999145 10000000 rotation.html:76
3914.730000000418 10000000 rotation.html:76
3931.752000000415 10000000 rotation.html:76
3948.8619999992807 10000000 rotation.html:76
3967.308999999659 10000000 rotation.html:76
3982.0159999999305 10000000 rotation.html:76
3998.143999999229 10000000 rotation.html:76
4015.8420000007027 10000000 rotation.html:76
4032.8470000004017 10000000 rotation.html:76
4050.3810000009253 10000000 rotation.html:76
4070.5589999997756 10000000 rotation.html:76
4101.312000000689 10000000 rotation.html:76
4118.65299999954 10000000 rotation.html:76
4136.56599999922 10000000 rotation.html:76
4169.802000000345 10000000 rotation.html:76
4207.071999999243 10000000 rotation.html:76
4238.262000000759 10000000 rotation.html:76
4285.325999999259 10000000 rotation.html:76
4325.174999999945 10000000 rotation.html:76
4352.913000000626 10000000 rotation.html:76
4403.556999999637 10000000 rotation.html:76
4456.59599999999 10000000 rotation.html:76
4506.269999999859 10000000 rotation.html:76
4541.864999999234 10000000 rotation.html:76
4575.047000000268 10000000 rotation.html:76
4607.75300000023 10000000 rotation.html:76
4630.913000000874 10000000 rotation.html:76
4648.397999999361 10000000 rotation.html:76
4666.095000000496 10000000 rotation.html:76
4681.601000000228 10000000 rotation.html:76
4698.612000000139 10000000 rotation.html:76
4717.2129999999015 10000000 rotation.html:76
4734.87600000044 10000000 rotation.html:76
4749.832999999853 10000000 rotation.html:76
4763.740000000325 10000000 rotation.html:76
4779.223999999886 10000000 rotation.html:76
4795.844000000216 10000000 rotation.html:76
4813.584999999875 10000000 rotation.html:76
4830.712000000858 10000000 rotation.html:76
4849.121999999625 10000000 rotation.html:76
4869.955000000118 10000000 rotation.html:76
4900.039000000106 10000000 rotation.html:76
4916.382999999769 10000000 rotation.html:76
4932.561999999962 10000000 rotation.html:76
4946.8309999992925 10000000 rotation.html:76
4964.401999999609 10000000 rotation.html:76
4980.919999999969 10000000 rotation.html:76
4998.014999999214 10000000 rotation.html:76
5016.756999999416 10000000 rotation.html:76
5035.984000000099 10000000 rotation.html:76
5080.905000000712 10000000 rotation.html:76
5096.611999999368 10000000 rotation.html:76
5114.540000000488 10000000 rotation.html:76
5136.438999999882 10000000 rotation.html:76
5167.167999999947 10000000 rotation.html:76
5185.374000000593 10000000 rotation.html:76
5200.6729999993695 10000000 rotation.html:76
5217.791999999463 10000000 rotation.html:76
5229.945999999472 10000000 rotation.html:76
5246.365999999398 10000000 rotation.html:76
5264.75500000015 10000000 rotation.html:76
5282.0449999999255 10000000 rotation.html:76
5297.732000000906 10000000 rotation.html:76
5314.422999999806 10000000 rotation.html:76
5331.185999999434 10000000 rotation.html:76
5348.050000000512 10000000 rotation.html:76
5365.568999999596 10000000 rotation.html:76
5382.031999999526 10000000 rotation.html:76
5398.175000000265 10000000 rotation.html:76
5414.684999999736 10000000 rotation.html:76
5434.166999999434 10000000 rotation.html:76
5450.935000000754 10000000 rotation.html:76
5466.951000000336 10000000 rotation.html:76
5482.229999999618 10000000 rotation.html:76
5498.239000000467 10000000 rotation.html:76
5515.0030000004335 10000000 rotation.html:76
5532.252000000881 10000000 rotation.html:76
5549.258000000918 10000000 rotation.html:76
5568.526000000929 10000000 rotation.html:76
5587.555000000066 10000000 rotation.html:76
5613.454000000274 10000000 rotation.html:76
5629.720999999336 10000000 rotation.html:76
5647.3710000009305 10000000 rotation.html:76
5671.619999999166 10000000 rotation.html:76
5701.435999999376 10000000 rotation.html:76
5719.565999999759 10000000 rotation.html:76
5737.746999999217 10000000 rotation.html:76
5765.312999999878 10000000 rotation.html:76
5781.999999999243 10000000 rotation.html:76
5796.7549999993935 10000000 rotation.html:76
5813.266999999541 10000000 rotation.html:76
5831.287000000884 10000000 rotation.html:76
5847.470999999132 10000000 rotation.html:76
5864.2390000004525 10000000 rotation.html:76
5881.010999999489 10000000 rotation.html:76
5898.714999999356 10000000 rotation.html:76
5914.224000000104 10000000 rotation.html:76
5934.252000000924 10000000 rotation.html:76
5947.700000000623 10000000 rotation.html:76
5967.40200000022 10000000 rotation.html:76
5981.847999999445 10000000 rotation.html:76
5998.961999999665 10000000 rotation.html:76
6017.539000000397 10000000 rotation.html:76
6056.365000000369 10000000 rotation.html:76
6086.946999999782 10000000 rotation.html:76
6144.3359999993845 10000000 rotation.html:76
6176.315999999133 10000000 rotation.html:76
6208.452999999281 10000000 rotation.html:76
6248.288999999204 10000000 rotation.html:76
6281.697000000349 10000000 rotation.html:76
6312.651000000187 10000000 rotation.html:76
6342.0939999996335 10000000 rotation.html:76
6365.840000000389 10000000 rotation.html:76
6382.114000000001 10000000 rotation.html:76
6399.575999999797 10000000 rotation.html:76
6414.623000000574 10000000 rotation.html:76
6431.93600000086 10000000 rotation.html:76
6448.287999999593 10000000 rotation.html:76
6465.555000000677 10000000 rotation.html:76
6482.072999999218 10000000 rotation.html:76
6498.620000000301 10000000 rotation.html:76
6516.1430000007385 10000000 rotation.html:76
6535.155999999915 10000000 rotation.html:76
6552.35200000061 10000000 rotation.html:76
6635.292999999365 10000000 rotation.html:76
6711.488000000827 10000000 rotation.html:76
6750.759000000471 10000000 rotation.html:76
6773.558000000776 10000000 rotation.html:76
6817.13099999979 10000000 rotation.html:76
6835.05999999943 10000000 rotation.html:76
6873.310999999376 10000000 rotation.html:76
6907.483000000866 10000000 rotation.html:76
6954.498999999487 10000000 rotation.html:76
7008.455999999569 10000000 rotation.html:76
7031.623000000764 10000000 rotation.html:76
7047.819999999774 10000000 rotation.html:76
7068.805999999313 10000000 rotation.html:76
7099.997999999687 10000000 rotation.html:76
7114.575999999943 10000000 rotation.html:76
7130.374000000302 10000000 rotation.html:76
7147.231000000829 10000000 rotation.html:76
7164.296000000832 10000000 rotation.html:76
7181.038000000626 10000000 rotation.html:76
7198.583999999755 10000000 rotation.html:76
7217.075000000477 10000000 rotation.html:76
7235.214000000269 10000000 rotation.html:76
7254.327000000558 10000000 rotation.html:76
7280.2300000003015 10000000 rotation.html:76
7297.022999999172 10000000 rotation.html:76
7314.650000000256 10000000 rotation.html:76
7333.340999999564 10000000 rotation.html:76
7349.51700000056 10000000 rotation.html:76
7365.8550000000105 10000000 rotation.html:76
7382.818000000043 10000000 rotation.html:76
7398.825000000215 10000000 rotation.html:76
7415.40200000054 10000000 rotation.html:76
7433.800999999221 10000000 rotation.html:76
7449.623000000429 10000000 rotation.html:76
7466.8560000009165 10000000 rotation.html:76
7483.328000000256 10000000 rotation.html:76
7501.731000000291 10000000 rotation.html:76
7534.77600000042 10000000 rotation.html:76
7552.644999999757 10000000 rotation.html:76
7570.632999999361 10000000 rotation.html:76
7602.677999999287 10000000 rotation.html:76
7620.386000000508 10000000 rotation.html:76
7649.781000000075 10000000 rotation.html:76
7663.7900000005175 10000000 rotation.html:76
7680.6610000003275 10000000 rotation.html:76
7698.87799999924 10000000 rotation.html:76
7715.858999999909 10000000 rotation.html:76
7732.470000000831 10000000 rotation.html:76
7750.378000000637 10000000 rotation.html:76
7768.308999999135 10000000 rotation.html:76
7787.318000000596 10000000 rotation.html:76
7824.2430000009335 10000000 rotation.html:76
7872.338999999556 10000000 rotation.html:76
7925.251000000571 10000000 rotation.html:76
7957.476999999926 10000000 rotation.html:76
7989.949000000706 10000000 rotation.html:76
8023.882999999842 10000000 rotation.html:76
8050.728000000163 10000000 rotation.html:76
8065.338000000338 10000000 rotation.html:76
8081.780000000435 10000000 rotation.html:76
8098.358999999618 10000000 rotation.html:76
8115.953000000445 10000000 rotation.html:76
8131.92700000036 10000000 rotation.html:76
8148.963999999978 10000000 rotation.html:76
8165.333000000828 10000000 rotation.html:76
8183.639999999286 10000000 rotation.html:76
8198.743999999351 10000000 rotation.html:76
8213.411000000633 10000000 rotation.html:76
