

Elements

Resources

Network

Sources

Timeline

Profiles

Audits

Console
ready 288.1699999998091 rotation.html:143
330.9249999997519 10000000 rotation.html:93
401.1219999997593 10000000 rotation.html:93
453.7599999998747 10000000 rotation.html:93
482.27700000006735 10000000 rotation.html:93
523.2719999999063 10000000 rotation.html:93
569.430999999895 10000000 rotation.html:93
597.5439999997434 10000000 rotation.html:93
630.6700000000092 10000000 rotation.html:93
647.3859999996421 10000000 rotation.html:93
664.1909999998461 10000000 rotation.html:93
680.9419999999591 10000000 rotation.html:93
709.3310000000201 10000000 rotation.html:93
729.2840000000069 10000000 rotation.html:93
742.3890000000029 10000000 rotation.html:93
759.9669999999605 10000000 rotation.html:93
775.9719999999106 10000000 rotation.html:93
793.2719999998881 10000000 rotation.html:93
809.9869999996372 10000000 rotation.html:93
827.4469999996654 10000000 rotation.html:93
844.3459999998595 10000000 rotation.html:93
859.6119999997427 10000000 rotation.html:93
925.2289999999448 10000000 rotation.html:93
944.9279999998907 10000000 rotation.html:93
960.3959999999461 10000000 rotation.html:93
976.1509999998452 10000000 rotation.html:93
992.9109999998218 10000000 rotation.html:93
1011.5309999996498 10000000 rotation.html:93
1026.274999999714 10000000 rotation.html:93
1043.0289999999331 10000000 rotation.html:93
1061.5389999998115 10000000 rotation.html:93
1078.2369999997172 10000000 rotation.html:93
1096.9919999997728 10000000 rotation.html:93
1109.625000000051 10000000 rotation.html:93
1128.212000000076 10000000 rotation.html:93
1143.1659999998374 10000000 rotation.html:93
1161.833999999999 10000000 rotation.html:93
1176.3569999998253 10000000 rotation.html:93
1193.597999999838 10000000 rotation.html:93
1210.681999999906 10000000 rotation.html:93
1226.5389999997751 10000000 rotation.html:93
1244.3100000000413 10000000 rotation.html:93
1259.6079999998437 10000000 rotation.html:93
1293.5349999997925 10000000 rotation.html:93
1310.3360000000066 10000000 rotation.html:93
1326.7429999996239 10000000 rotation.html:93
1343.6979999996765 10000000 rotation.html:93
1360.367999999653 10000000 rotation.html:93
1377.0269999999982 10000000 rotation.html:93
1393.72800000001 10000000 rotation.html:93
1410.2929999999105 10000000 rotation.html:93
1427.2289999998975 10000000 rotation.html:93
1443.836999999803 10000000 rotation.html:93
1460.475999999744 10000000 rotation.html:93
1477.2549999997864 10000000 rotation.html:93
1492.7880000000187 10000000 rotation.html:93
1509.3839999999545 10000000 rotation.html:93
1526.9469999998364 10000000 rotation.html:93
1543.4119999999893 10000000 rotation.html:93
1559.8379999996723 10000000 rotation.html:93
1576.6159999998308 10000000 rotation.html:93
1593.6659999997573 10000000 rotation.html:93
1611.142999999629 10000000 rotation.html:93
1626.991999999973 10000000 rotation.html:93
1645.5949999999575 10000000 rotation.html:93
1660.555999999815 10000000 rotation.html:93
1677.4980000000141 10000000 rotation.html:93
1693.4259999998176 10000000 rotation.html:93
1710.2419999996528 10000000 rotation.html:93
